Sophy	Sophy_notSI	no_SI_category		
Western_Sophia	Western_Sophia_notSI	no_SI_category		
Prospero	Prospero	fictPersons		
Chaucer	Geoffrey Chaucer	histPersons		
Liston_John	John Liston	histPersons		
Grizzle_Lord	Lord Grizzle	fictPersons		
Lamb_Chas	Charles Lamb	histPersons		
Hazlitt_Wm	William Hazlitt	histPersons		
Milton	John Milton	histPersons		
Mossy_pet	Mossy	histPersons		
Brunton_Mary	Mary Balfour Brunton	histPersons		
Rowden_Fr	Frances Arabella Rowden St. Quintin	histPersons		
	_notSI	no_SI_category		
Fearon_HB	Henry Bradshaw Fearon	histPersons		
Washington_Geo	George Washington	histPersons		
Franklin_Ben	Benjamin Franklin	histPersons		
Birkbeck_M	Morris Birkbeck	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
Hunt	James Henry Leigh Hunt	histPersons		
Bacon	Francis Bacon	histPersons		
Shakespeare	William Shakespeare	histPersons		
Keats	John Keats	histPersons		
Peacock_TL	Thomas Love Peacock	histPersons		
Coleridge_ST	Samuel Taylor Coleridge	histPersons		
Byron	George Gordon Noel Byron	histPersons		
Sancho_Panza	Sancho Panza	fictPersons		
Cypress_Mr	Mr. Cypress	fictPersons		
Selim_pet	Selim	histPersons		
Miranda_pet	Miranda	histPersons		
Mitford_Geo	George Mitford	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
MRM	Mary Russell Mitford	histPersons		
Palmer_CF	Charles Fyshe Palmer	histPersons		
	_notSI	no_SI_category		
Mitford_Geo	George Mitford	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
whitekitten_WEpet	White kitten	histPersons		
Mitford_Geo	George Mitford	histPersons		
Brulgruddery_D	Dennis Brulgruddery	fictPersons		
Hofland_B	Barbara Hofland Wreaks	histPersons		
Rousseau	Jean-Jacques Rousseau	histPersons		
Lorrain_Cl	Claude Lorrain	histPersons		
Selima_cat_pet	Selima_cat_pet_notSI	no_SI_category		
Miranda_pet	Miranda	histPersons		
Selim_cat_pet	Selim_cat_pet_notSI	no_SI_category		
Selim_cat	Selim_cat_notSI	no_SI_category		
Weyland_John	John Weyland	histPersons		
Palmer_CF	Charles Fyshe Palmer	histPersons		
Palmer_Mad	Madelina Palmer Gordon	histPersons		
Burke_E	Edmund Burke	histPersons		
Howard_John	John Howard	histPersons		
Marie_Antionette	Marie_Antionette_notSI	no_SI_category		
Ossian	Ossian	fictPersons		
Hervey_Wm	Frederick William Hervey	histPersons		
Phillips_Chas	Charles Phillips	histPersons		
Porter_AM	Porter_AM_notSI	no_SI_category		
Owenson_S	Sydney Owenson	histPersons		
Junius	Lucius Junius Brutus	histPersons		
Fox_ChasJ	Charles James Fox	histPersons		
Hearne_Thos	Thomas Hearne	histPersons		
Aubrey_John	John Aubrey	histPersons		
Johnson_Sam	Johnson_Sam_notSI	no_SI_category		
Kettle_Dr	Ralph Kettle	histPersons		
PembrokeI	William Herbert	histPersons		
Jonson_Ben	Ben Jonson	histPersons		
Hobbes	Thomas Hobbes	histPersons		
Titian	Tiziano Vecelli	histPersons		
Scott_Wal	Walter Scott	histPersons		
Austen_Jane	Jane Austen	histPersons		
	_notSI	no_SI_category		
Walton_I	Izaak Walton	histPersons		
Boswell	James Boswell	histPersons		
Crowther_Mr	 Crowther	histPersons		
Napoleon	Napoleon Bonaparte	histPersons		
Byron	George Gordon Noel Byron	histPersons		
Croker_JW	John Wilson Croker	histPersons		
Don_Quixote_char	Don Quixote	fictPersons		
Punch	Punch	fictPersons		
Judy	Judy	fictPersons		
James_Miss	Miss James	histPersons		
James_Susan	Susan Susy Deane James	histPersons		
Elford_John	Elford_John_notSI	no_SI_category		
Russell_M	Mary Mitford Russell	histPersons		
MRM	Mary Russell Mitford	histPersons		
Milman_HH	Henry Hart Milman	histPersons		
Heber_Rich	Richard Heber	histPersons		
Dickinson_Charles	Charles Dickinson	histPersons		
Haydon	Benjamin Robert Haydon	histPersons		
Mitford_Geo	George Mitford	histPersons		
MRM	Mary Russell Mitford	histPersons		
MRM_maledog_pet		histPersons		
Shakespeare	William Shakespeare	histPersons		
Miranda_pet	Miranda	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
LeCamus_Antoine	Antoine Le Camus	histPersons		
MRM	Mary Russell Mitford	histPersons		
Dacre_Charlotte	Dacre_Charlotte_notSI	no_SI_category		
	_notSI	no_SI_category		
Dickinson_Charles	Charles Dickinson	histPersons		
Hogarth	William Hogarth	histPersons		
Wellington_Duke	Arthur Wellesley	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
James_Miss	Miss James	histPersons		
Hofland_B	Barbara Hofland Wreaks	histPersons		
Hofland_TC #Hofland_B	Hofland_TC #Hofland_B_notSI	no_SI_category		
Hofland_TC	Thomas Christopher Hofland	histPersons		
Geo_SpencerChurchill	George Spencer-Churchill	histPersons		
Chas_SpencerChurchill	Charles Spencer-Churchill	histPersons		
Hassan_Bedreddin	Prince Bedreddin Hassan	fictPersons		
Miranda_pet	Miranda	histPersons		
Selim_pet	Selim	histPersons		
Mitford_Geo	George Mitford	histPersons		
Griffin_Rich	Richard Griffin	histPersons		
whitekitten_WEpet	White kitten	histPersons		
Percy_Thos	Thomas Percy	histPersons		
Dryden	John Dryden	histPersons		
Lee_Nath	Nathaniel Lee	histPersons		
Owenson_S	Sydney Owenson	histPersons		
Miss Crawley_fict	Miss Crawley_fict_notSI	no_SI_category		
Mr_Dexter_OD	Mr_Dexter_OD_notSI	no_SI_category		
Austen_Jane	Jane Austen	histPersons		
Aubrey_John	John Aubrey	histPersons		
Hearne_Thos	Thomas Hearne	histPersons		
JamesI	James I	histPersons		
ChasI	Charles Stuart	histPersons		
Master_Fuller	Master Fuller	fictPersons		
MRM	Mary Russell Mitford	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Mitford_Geo	George Mitford	histPersons		
	_notSI	no_SI_category		
Mossy	Mossy_notSI	no_SI_category		
James_Miss	Miss James	histPersons		
Valpy_Richard	Richard Valpy	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
Mitford_Geo	George Mitford	histPersons		
Palmer_CF	Charles Fyshe Palmer	histPersons		
Weyland_John	John Weyland	histPersons		
Dickinson_Charles	Charles Dickinson	histPersons		
	_notSI	no_SI_category		
Cartwright_Maj	John Cartwright	histPersons		
Northmore_Thos	Thomas Northmore	histPersons		
Hobhouse_JC	John Cam Hobhouse	histPersons		
Washington_Geo	George Washington	histPersons		
Johnson_Mr	John Johnson	histPersons		
Junius	Lucius Junius Brutus	histPersons		
Walton_I	Izaak Walton	histPersons		
Dickinson_Mrs	Mrs. Dickinson	histPersons		
Handel	George Frideric Handel	histPersons		
Austen_Jane	Jane Austen	histPersons		
Jacky_Marriage	Miss Jacky	fictPersons		
Nicky_Marriage	Miss Nicky	fictPersons		
Grizzy_Marriage	Miss Grizzy	fictPersons		
Maclaughlan_Marriage	Lady MacLaughlan	fictPersons		
Collins_Mr_JA	Collins_Mr_JA_notSI	no_SI_category		
Chas_Grandison_fict	Sir Charles Grandison	fictPersons		
Mary_Marriage	Mary	fictPersons		
whitekitten_WEpet	White kitten	histPersons		
Dante	Durante Alighieri	histPersons		
Tasso	Tasso_notSI	no_SI_category		
Ariosto	Ariosto_notSI	no_SI_category		
Petrarch	Francesco Petrarca	histPersons		
Ovid	Publius Ovidius Naso	histPersons		
Virgil	Publius Vergilius Maro	histPersons		
Ugolino	Count Ugolino	fictPersons		
Isabella_Dante	Isabella	fictPersons		
Dryden	John Dryden	histPersons		
Phaeton_Ovid	Phaeton	fictPersons		
Southey_R	Robert Southey	histPersons		
Pitt_Chris	Christopher Pitt	histPersons		
Beresford_James	James Beresford	histPersons		
Dido	Dido_notSI	no_SI_category		
Ascanius	Ascanius	fictPersons		
Palmer_Mad	Madelina Palmer Gordon	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
MRM	Mary Russell Mitford	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
whitekitten_WEpet	White kitten	histPersons		
	_notSI	no_SI_category		
Northmore_Thos	Thomas Northmore	histPersons		
Bellamy_John	John Bellamy	histPersons		
Marriott_Mr	Mr. Marriott	histPersons		
Austen_Jane	Jane Austen	histPersons		
Clarke_ED	Edward Daniel Clarke	histPersons		
Acerbi_J	Giuseppe Acerbi	histPersons		
Lucetti	Lucetti	histPersons		
Cripps_JM	John Marten Cripps	histPersons		
Scott_Wal	Walter Scott	histPersons		
Rogers_Sam	Samuel Rogers	histPersons		
King_Wm	William King	histPersons		
Pope_Alex	Alexander Pope	histPersons		
James_oldPretender	James Francis Edward Stuart	histPersons		
Maturin_Ch	Maturin_Ch_notSI	no_SI_category		
Holcroft	Thomas Holcroft	histPersons		
Hazlitt_Wm	William Hazlitt	histPersons		
Walpole_Hor	Horace Walpole	histPersons		
hume	David Hume	histPersons		
Gray_Thos	Thomas Gray	histPersons		
Cowper	William Cowper	histPersons		
Scott_John_LdEldon	John Scott	histPersons		
Sebastian_TN	Sebastian	fictPersons		
Viola_TN	Viola	fictPersons		
Hofland_B #Hofland_TC	Hofland_B #Hofland_TC_notSI	no_SI_category		
Geo_SpencerChurchill	George Spencer-Churchill	histPersons		
Hofland_TC	Thomas Christopher Hofland	histPersons		
James_Miss	Miss James	histPersons		
Castlereagh_RS	Robert Stewart	histPersons		
Pygmalion	Pygmalion	fictPersons		
Palmer_CF	Charles Fyshe Palmer	histPersons		
Palmer_Mad	Madelina Palmer Gordon	histPersons		
Weyland_John	John Weyland	histPersons		
Burdett_F	Sir Francis Burdett	histPersons		
Cartwright_Maj	John Cartwright	histPersons		
GeoIV	George IV King of the United Kingdom of Great Britain and Ireland	histPersons		
Beechey_W	William Beechey	histPersons		
Holcroft_Thos	Thomas Holcroft	histPersons		
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Elford_SirWm
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	whitekitten_WEpet
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Northmore_Thos
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Bellamy_John
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Marriott_Mr
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Austen_Jane
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Clarke_ED
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Acerbi_J
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Lucetti
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Cripps_JM
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Scott_Wal
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Rogers_Sam
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	King_Wm
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Pope_Alex
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	James_oldPretender
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Maturin_Ch
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Holcroft
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Hazlitt_Wm
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Walpole_Hor
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	hume
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Gray_Thos
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Cowper
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Scott_John_LdEldon
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Sebastian_TN
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Viola_TN
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Hofland_B #Hofland_TC
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Geo_SpencerChurchill
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Hofland_TC
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	James_Miss
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Castlereagh_RS
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Pygmalion
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Palmer_CF
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Palmer_Mad
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Weyland_John
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Burdett_F
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Cartwright_Maj
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	GeoIV
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Beechey_W
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Holcroft_Thos
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	Mitford_Geo
Mitford_Geo	George Mitford	histPersons	Letter to Sir William Elford, 1819 April 8	MRM
MRM	Mary Russell Mitford	histPersons		
Webb_Mary_younger	Mary Elizabeth Webb	histPersons		
Webb_James	James Webb	histPersons		
Webb_Mary_elder	Mary Webb	histPersons		
Webb_Eliza	Eliza Elizabeth Webb	histPersons		
James_Miss	Miss James	histPersons		
Dobbs_Mrs	Mrs. Dobbs	histPersons		
Haydon	Benjamin Robert Haydon	histPersons		
Palmer_Mad	Madelina Palmer Gordon	histPersons		
Mitford_Geo	George Mitford	histPersons		
Palmer_CF	Charles Fyshe Palmer	histPersons		
George	George 	histPersons		
Constance_KJ	Constance	fictPersons		
MRM	Mary Russell Mitford	histPersons		
Shakespeare	William Shakespeare	histPersons		
Frankland_Mrs	Mrs. Frankland	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Frere_JH	J.H. Frere	histPersons		
Hazlitt_Wm	William Hazlitt	histPersons		
Johnson	Samuel Johnson	histPersons		
Vanbrugh	Sir John Vanbrugh	histPersons		
Wheeler_Kate	Kate Wheeler	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
	_notSI	no_SI_category		
Scott_Wal	Walter Scott	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
Mitford_Geo	George Mitford	histPersons		
	_notSI	no_SI_category		
Dickinson_Mrs	Mrs. Dickinson	histPersons		
Handel	George Frideric Handel	histPersons		
Haydn	Franz Joseph Hadyn	histPersons		
Mozart	Johannes Chrysostomus Wolfgangus Theophilus Mozart	histPersons		
Richardson_Sam	Samuel Richardson	histPersons		
Clarissa_fict	Clarissa	fictPersons		
Chas_Grandison_fict	Sir Charles Grandison	fictPersons		
Dickinson_Charles	Charles Dickinson	histPersons		
Cartwright_Maj	John Cartwright	histPersons		
Kean_Edmund	Edmund Kean	histPersons		
Garrick_David	David Garrick	histPersons		
MandlebertE_char	Mr. Edgar Mandlebert	fictPersons		
Camilla_char	Camilla	fictPersons		
DubsterMr_Camilla	Camilla	fictPersons		
HughSir_Camilla	Camilla	fictPersons		
Mr_Dexter_fict	Mr. Dexter	fictPersons		
LadySingleton_fict	Lady Singleton	fictPersons		
Burney_F	Frances 	histPersons		
Johnson	Samuel Johnson	histPersons		
SmithMr_Evelina	Mr. Smith	fictPersons		
BranghtonMiss_Evelina	Miss Branghton	fictPersons		
Austen_Jane	Jane Austen	histPersons		
Jonson_B	Ben Jonson	histPersons		
Shakespeare	William Shakespeare	histPersons		
Wellington_Duke	Arthur Wellesley	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Mossy_pet	Mossy	histPersons		
MRM	Mary Russell Mitford	histPersons		
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Elford_SirWm
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Mitford_Geo
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Dickinson_Mrs
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Handel
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Haydn
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Mozart
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Richardson_Sam
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Clarissa_fict
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Chas_Grandison_fict
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Dickinson_Charles
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Cartwright_Maj
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Kean_Edmund
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Garrick_David
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	MandlebertE_char
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Camilla_char
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	DubsterMr_Camilla
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	HughSir_Camilla
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Mr_Dexter_fict
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	LadySingleton_fict
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Burney_F
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	Johnson
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	SmithMr_Evelina
Dundas_C	Charles Dundas	histPersons	Letter to Sir William Elford, May 30, 1819	BranghtonMiss_Evelina
