"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","Node-1-Attributes","Node-2-Attributes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1288","2.51309707","6.777E-4","0.39791539","0.0","34","4","false","Pleydell","74.46428571","fictional_and_archetypal","fictional_and_archetypal","34","0","6","0.69738059","false","0","Pleydell","224476","0.25159002"
"1290","2.51309707","6.777E-4","0.39791539","0.0","34","4","false","Dandie_Dinmont","74.46428571","fictional_and_archetypal","fictional_and_archetypal","34","0","6","0.69738059","false","0","Dandie_Dinmont","224476","0.25159002"
"1292","2.51309707","6.777E-4","0.39791539","0.0","34","4","false","Meg_Merrilies","74.46428571","fictional_and_archetypal","fictional_and_archetypal","34","0","6","0.69738059","false","0","Meg_Merrilies","224476","0.25159002"
"1294","2.51309707","6.777E-4","0.39791539","0.0","34","4","false","Elspeth","74.46428571","fictional_and_archetypal","fictional_and_archetypal","34","0","6","0.69738059","false","0","Elspeth","224476","0.25159002"
"1297","2.33436055","0.00358681","0.42838284","0.0","83","4","false","Byron","73.83636364","historical_people","historical_people","83","0","19","0.73312789","false","0","Byron","893418","0.22549958"
"1350","2.10015408","0.00409977","0.47615554","0.0","133","4","false"," Edgeworth_Maria","116.24427481",,,"133","0","2","0.77996918","false","0"," Edgeworth_Maria","1148610","0.35679342"
"1383","2.51309707","6.777E-4","0.39791539","0.0","34","4","false"," Oldbuck_Jonathan","74.46428571",,,"34","0","6","0.69738059","false","0"," Oldbuck_Jonathan","224476","0.25159002"
"1400","2.55007704","1.9125E-4","0.39214502","0.0","16","4","false"," Edie_Ochiltree","73.5",,,"16","0","0","0.68998459","false","0"," Edie_Ochiltree","56344","0.24828767"
"1417","2.51309707","6.777E-4","0.39791539","0.0","34","4","false"," Pleydell","74.46428571",,,"34","0","6","0.69738059","false","0"," Pleydell","224476","0.25159002"
"1434","2.51309707","6.777E-4","0.39791539","0.0","34","4","false"," Dandie_Dinmont","74.46428571",,,"34","0","6","0.69738059","false","0"," Dandie_Dinmont","224476","0.25159002"
"1451","2.51309707","6.777E-4","0.39791539","0.0","34","4","false"," Meg_Merrilies","74.46428571",,,"34","0","6","0.69738059","false","0"," Meg_Merrilies","224476","0.25159002"
"1468","2.51309707","6.777E-4","0.39791539","0.0","34","4","false"," Elspeth","74.46428571",,,"34","0","6","0.69738059","false","0"," Elspeth","224476","0.25159002"
"1501","2.33436055","0.00358681","0.42838284","0.0","83","4","false"," Byron","73.83636364",,,"83","0","19","0.73312789","false","0"," Byron","893418","0.22549958"
"1566","2.37134052","0.0021993","0.4217024","0.0","54","4","false"," Keats","62.74418605",,,"54","0","9","0.7257319","false","0"," Keats","539216","0.19115847"
"1567","2.06009245","0.00755631","0.48541511","0.0","152","4","false","Hazlitt_Wm","108.07638889","historical_people","historical_people","152","0","7","0.78798151","false","0","Hazlitt_Wm","2233382","0.33150585"
"1569","2.76579353","1.52E-4","0.36155989","0.0","18","5","false","Johnson","64.5","historical_people","historical_people","18","0","0","0.64684129","false","0","Johnson","61596","0.28733032"
"1571","2.10015408","0.00418352","0.47615554","0.0","135","4","false","Beaumont_Fr","114.79389313","historical_people","historical_people","135","0","4","0.77996918","false","0","Beaumont_Fr","1498256","0.35230307"
"1573","2.06933744","0.00573635","0.48324646","0.0","154","4","false","Fletcher_John","109.4964539","historical_people","historical_people","154","0","12","0.78613251","false","0","Fletcher_John","2031088","0.33590233"
"1578","2.76579353","1.52E-4","0.36155989","0.0","18","5","false","Aspatia","64.5","fictional_and_archetypal","fictional_and_archetypal","18","0","0","0.64684129","false","0","Aspatia","61596","0.28733032"
"1580","2.76579353","1.52E-4","0.36155989","0.0","18","5","false","Bellario","64.5","fictional_and_archetypal","fictional_and_archetypal","18","0","0","0.64684129","false","0","Bellario","61596","0.28733032"
"1587","2.76579353","1.52E-4","0.36155989","0.0","18","5","false","Balfour_John","64.5","fictional_and_archetypal","fictional_and_archetypal","18","0","0","0.64684129","false","0","Balfour_John","61596","0.28733032"
"1589","2.76579353","1.52E-4","0.36155989","0.0","18","5","false","Dirk_Hatteraick","64.5","fictional_and_archetypal","fictional_and_archetypal","18","0","0","0.64684129","false","0","Dirk_Hatteraick","61596","0.28733032"
"1593","2.06009245","0.00755631","0.48541511","0.0","152","4","false"," Hazlitt_Wm","108.07638889",,,"152","0","7","0.78798151","false","0"," Hazlitt_Wm","2233382","0.33150585"
"1594","2.37134052","0.0021993","0.4217024","0.0","54","4","false","Keats","62.74418605","historical_people","historical_people","54","0","9","0.7257319","false","0","Keats","539216","0.19115847"
"1613","2.76579353","1.52E-4","0.36155989","0.0","18","5","false"," Johnson","64.5",,,"18","0","0","0.64684129","false","0"," Johnson","61596","0.28733032"
"1632","2.10015408","0.00418352","0.47615554","0.0","135","4","false"," Beaumont_Fr","114.79389313",,,"135","0","4","0.77996918","false","0"," Beaumont_Fr","1498256","0.35230307"
"1651","2.06933744","0.00573635","0.48324646","0.0","154","4","false"," Fletcher_John","109.4964539",,,"154","0","12","0.78613251","false","0"," Fletcher_John","2031088","0.33590233"
"1724","2.76579353","1.52E-4","0.36155989","0.0","18","5","false"," Aspatia","64.5",,,"18","0","0","0.64684129","false","0"," Aspatia","61596","0.28733032"
"1743","2.76579353","1.52E-4","0.36155989","0.0","18","5","false"," Bellario","64.5",,,"18","0","0","0.64684129","false","0"," Bellario","61596","0.28733032"
"1852","2.76579353","1.52E-4","0.36155989","0.0","18","5","false"," Balfour_John","64.5",,,"18","0","0","0.64684129","false","0"," Balfour_John","61596","0.28733032"
"1871","2.76579353","1.52E-4","0.36155989","0.0","18","5","false"," Dirk_Hatteraick","64.5",,,"18","0","0","0.64684129","false","0"," Dirk_Hatteraick","61596","0.28733032"
"1928","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false","Howard_Tho","72.25","historical_people","historical_people","12","0","0","0.68135593","false","0","Howard_Tho","32312","0.25176678"
"1930","2.55315871","6.8123E-4","0.3916717","0.0","24","5","false","ElizI","76.31818182","historical_people","historical_people","24","0","2","0.68936826","false","0","ElizI","104734","0.26335029"
"1933","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false","Beaumont_Sir_Geo","72.25","historical_people","historical_people","12","0","0","0.68135593","false","0","Beaumont_Sir_Geo","32312","0.25176678"
"1935","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false","Raphael","72.25","historical_people","historical_people","12","0","0","0.68135593","false","0","Raphael","32312","0.25176678"
"1937","2.48844376","0.00460353","0.40185759","0.0","43","5","false","hume","51.09302326","historical_people","historical_people","43","0","0","0.70231125","false","0","hume","747288","0.17515043"
"1940","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false","Burns_Rob","72.25","historical_people","historical_people","12","0","0","0.68135593","false","0","Burns_Rob","32312","0.25176678"
"1943","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false","Wilkie_Wil","72.25","historical_people","historical_people","12","0","0","0.68135593","false","0","Wilkie_Wil","32312","0.25176678"
"1969","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false"," Howard_Tho","72.25",,,"12","0","0","0.68135593","false","0"," Howard_Tho","32312","0.25176678"
"1982","2.55315871","6.8123E-4","0.3916717","0.0","24","5","false"," ElizI","76.31818182",,,"24","0","2","0.68936826","false","0"," ElizI","104734","0.26335029"
"2007","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false"," Beaumont_Sir_Geo","72.25",,,"12","0","0","0.68135593","false","0"," Beaumont_Sir_Geo","32312","0.25176678"
"2020","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false"," Raphael","72.25",,,"12","0","0","0.68135593","false","0"," Raphael","32312","0.25176678"
"2033","2.48844376","0.00460353","0.40185759","0.0","43","5","false"," hume","51.09302326",,,"43","0","0","0.70231125","false","0","hume","747288","0.17515043"
"2058","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false"," Burns_Rob","72.25",,,"12","0","0","0.68135593","false","0"," Burns_Rob","32312","0.25176678"
"2083","2.59322034","1.9521E-4","0.38562092","0.0","12","5","false"," Wilkie_Wil","72.25",,,"12","0","0","0.68135593","false","0"," Wilkie_Wil","32312","0.25176678"
