SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,Node-1-Attributes,Node-2-Attributes,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
1079,2.54391371,9.41E-04,0.39309509,0,33,5,FALSE, Daphne,65.44,historical_people,historical_people,33,0,5,0.69121726,FALSE,0, Daphne,158518,0.22531469
10053,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Davenport_MA,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Davenport_MA,339418,0.38416554
861,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, de_Chaboulon,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, de_Chaboulon,92252,0.18345229
13236,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Dekker_Thos,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Dekker_Thos,339418,0.38416554
5750,2.1248074,0.00213025,0.47063089,0,130,4,FALSE, Desdemona_O,120.3739837,fictional_and_archetypal,fictional_and_archetypal,130,0,7,0.77503852,FALSE,0, Desdemona_O,628812,0.3695789
8402,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Dibdin_TJ,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Dibdin_TJ,339418,0.38416554
235,2.49768875,9.29E-04,0.40037014,0,37,4,FALSE, Dickinson_Charles,63.60606061,historical_people,historical_people,37,0,4,0.70046225,FALSE,0, Dickinson_Charles,210560,0.21440432
404,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Dickinson_Daughter,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, Dickinson_Daughter,92252,0.18345229
457,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Dickinson_Grandmama,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, Dickinson_Grandmama,92252,0.18345229
162,2.36825886,0.00227646,0.42225114,0,56,4,FALSE, Dickinson_Mrs,64.22727273,historical_people,historical_people,56,0,9,0.72634823,FALSE,0, Dickinson_Mrs,522226,0.19575007
484,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Dickinson_Nurse,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, Dickinson_Nurse,92252,0.18345229
1871,2.76579353,1.52E-04,0.36155989,0,18,5,FALSE, Dirk_Hatteraick,64.5,fictional_and_archetypal,fictional_and_archetypal,18,0,0,0.64684129,FALSE,0, Dirk_Hatteraick,61596,0.28733032
6988,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Dogberry_MA,125.0854701,fictional_and_archetypal,fictional_and_archetypal,117,0,0,0.77134052,FALSE,0, Dogberry_MA,339418,0.38416554
3138,2.03543914,0.00787226,0.49129447,0,210,4,FALSE, Doge_F,102.2302632,fictional_and_archetypal,fictional_and_archetypal,210,0,20,0.79291217,FALSE,0, Doge_F,2114602,0.31340639
3447,2.49460709,0.00169071,0.40086473,0,51,5,FALSE, Doge_F_hist,79.75609756,historical_people,historical_people,51,0,9,0.70107858,FALSE,0, Doge_F_hist,486894,0.27537097
3993,2.09090909,0.00386602,0.47826087,0,148,4,FALSE, Donato,113.0895522,fictional_and_archetypal,fictional_and_archetypal,148,0,9,0.78181818,FALSE,0, Donato,1215354,0.34702648
4207,2.59938367,1.95E-04,0.38470658,0,18,5,FALSE, Donato_hist,97.66666667,historical_people,historical_people,18,0,0,0.68012327,FALSE,0, Donato_hist,58068,0.35151515
2332,2.46687211,2.35E-04,0.40537164,0,15,4,FALSE, Doria_Andrea,59.93333333,historical_people,historical_people,15,0,0,0.70662558,FALSE,0, Doria_Andrea,40870,0.18416667
20656,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Downes,44.29032258,fictional_and_archetypal,fictional_and_archetypal,31,0,0,0.66348228,FALSE,0, Downes,87698,0.18421414
942,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Drake_Nathan,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, Drake_Nathan,92252,0.18345229
6399,2.01694915,0.06247284,0.49579832,0,157,3,FALSE, Dryden,103.9426752,historical_people,historical_people,157,0,0,0.79661017,FALSE,0, Dryden,10626638,0.31772431
19114,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Duke_of_Devonshire,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Duke_of_Devonshire,339418,0.38416554
15235,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Duncan_MR,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Duncan_MR,339418,0.38416554
1350,2.10015408,0.00409977,0.47615554,0,133,4,FALSE, Edgeworth_Maria,116.2442748,historical_people,historical_people,133,0,2,0.77996918,FALSE,0, Edgeworth_Maria,1148610,0.35679342
1400,2.55007704,1.91E-04,0.39214502,0,16,4,FALSE, Edie_Ochiltree,73.5,fictional_and_archetypal,fictional_and_archetypal,16,0,0,0.68998459,FALSE,0, Edie_Ochiltree,56344,0.24828767
3089,2.69183359,8.52E-05,0.37149399,0,8,5,FALSE, Elford_J,104.125,historical_people,historical_people,8,0,0,0.66163328,FALSE,0, Elford_J,13524,0.40441176
996,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Elford_MrsE,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, Elford_MrsE,92252,0.18345229
72,2.26348228,0.00772283,0.44179714,0,138,4,FALSE, Elford_SirWm,51.41025641,historical_people,historical_people,138,0,26,0.74730354,FALSE,0, Elford_SirWm,1145114,0.15606891
1982,2.55315871,6.81E-04,0.3916717,0,24,5,FALSE, ElizI,76.31818182,historical_people,historical_people,24,0,2,0.68936826,FALSE,0, ElizI,104734,0.26335029
5654,2.1248074,0.00213025,0.47063089,0,130,4,FALSE, Elliston_Robt,120.3739837,historical_people,historical_people,130,0,7,0.77503852,FALSE,0, Elliston_Robt,628812,0.3695789
1468,2.51309707,6.78E-04,0.39791539,0,34,4,FALSE, Elspeth,74.46428571,fictional_and_archetypal,fictional_and_archetypal,34,0,6,0.69738059,FALSE,0, Elspeth,224476,0.25159002
9699,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Emery_John,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Emery_John,339418,0.38416554
3151,2.54699538,6.45E-04,0.39261948,0,40,5,FALSE, Erizzo,85.17241379,fictional_and_archetypal,fictional_and_archetypal,40,0,6,0.69060092,FALSE,0, Erizzo,129266,0.29954596
3604,2.0816641,0.00405646,0.4803849,0,161,4,FALSE, Euripides,112.6131387,historical_people,historical_people,161,0,17,0.78366718,FALSE,0, Euripides,1289866,0.34555151
5899,2.65177196,0.00127257,0.37710633,0,45,5,FALSE, Fairfax,47.19512195,fictional_and_archetypal,fictional_and_archetypal,45,0,4,0.66964561,FALSE,0, Fairfax,230972,0.19657499
9581,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Fawcett_John,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Fawcett_John,339418,0.38416554
2731,2.54699538,2.23E-04,0.39261948,0,17,4,FALSE, Ferdinand_I,78.64705882,historical_people,historical_people,17,0,0,0.69060092,FALSE,0, Ferdinand_I,55378,0.26591459
2316,2.46687211,2.35E-04,0.40537164,0,15,4,FALSE, Fieschi_GL,59.93333333,historical_people,historical_people,15,0,0,0.70662558,FALSE,0, Fieschi_GL,40870,0.18416667
